name,pdf_url,isin
Aviva Investors Global Convertibles Fund Iah GBP Inc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0367993150
Aviva Investors European Corporate Bond Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160771357
Aviva Investors Global Aviva France Global High Yield Fund K EUR,https://doc.morningstar.com/document/8b359978a2c0c810eafc0e2f90ddd3d9.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU2202899741
Aviva Investors Emerging Markets Local Currency Bond Fund Ia GBP Inc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0280564948
Aviva Investors Global Convertibles Absolute Return Fund Iah GBP Inc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0459999123
Aviva Investors Euro Credit Bonds 1-3 ISR - Part I,https://doc.morningstar.com/document/41c2efd325085235d3bcca6f75b5383a.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007390075
Aviva Investors Global Convertibles Absolute Return Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0459997697
Aviva Investors Euro Credit Bonds ISR - Part I,https://doc.morningstar.com/document/08f17049ee18408ed188219c2841f97e.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0011024249
Aviva Investors Yield Curves Absolute Return - Part C,https://doc.morningstar.com/document/68f146e1e5f34a0b4c4657514fff3413.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010921387
Aviva Investors Global Convertibles Absolute Return Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0459998588
Aviva Investors European Equity Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160772918
Aviva Investors European Equity Income Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160781745
Aviva Investors UK Listed Equity High Alpha Fund I GBP Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160960752
Aviva Investors Global Convertibles Fund Ia GBP Inc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0280568428
Aviva Investors Valeurs Europe - Part I,https://doc.morningstar.com/document/68f146e1e5f34a0b8160cf5f7d1f7b1b.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0007082920
Aviva Investors Global Convertibles Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0160787601
Aviva Investors Short Duration Global High Yield Bond Fund Iah EUR Inc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0756178793
Aviva Investors Multi-Strategy Target Return Fund I EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1074209757
Aviva Investors Short Duration Global High Yield Bond Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1028903703
Aviva Investors Multi-Strategy Target Return Fund J EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1207761260
Aviva Investors Japon ISR - Part IH,https://doc.morningstar.com/document/08f17049ee18408edff4cbc7eb731f56.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0013340841
Aviva Investors Sustainable Income & Growth Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU1985008363
Aviva Investors Global High Yield Bond Fund Ih EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0367993747
Aviva Investors Experimmo ISR - Part B,annual_report_does_not_exists,FR0013418779
Aviva Investors Japon ISR - Part I,https://doc.morningstar.com/document/08f17049ee18408edff4cbc7eb731f56.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010247072
Aviva Investors Multi-Strategy Target Return Fund Iq EUR Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU2367890394
Aviva Investors Experimmo ISR - Part A,annual_report_does_not_exists,FR0013418761
Aviva Investors Inflation Euro - Part R,https://doc.morningstar.com/document/acf8b6ba666b4b71910f705b14d37e69.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010730630
Aviva Investors Short Duration Global High Yield Bond Fund I USD Acc,https://doc.morningstar.com/document/3bbb01b8cb5c4ecf8ca0f3f12d5aa846.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,LU0747473022
Aviva Investors Inflation Euro - Part A,https://doc.morningstar.com/document/acf8b6ba666b4b71910f705b14d37e69.msdoc/?clientId=avivainvestors&key=0011b526a18a80ef,FR0010752550
