name,pdf_url,isin
"B-FUND EUROPE EQUITY D [CLASSIC ABN, D]",annual_report_does_not_exists,26592
"BNP Paribas Consumer Innovators [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,13329
"BNP Paribas Climate Impact [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,1285
"BNP Paribas Emerging Bond [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,479
"BNP Paribas Ecosystem Restoration [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,27059
"BNP Paribas Emerging Bond Opportunities [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,13011
"BNP Paribas China Equity [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,12994
"BNP Paribas Disruptive Technology [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,12998
"BNP Paribas China A-Shares [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,22396
"BNP Paribas Brazil Equity [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,1488
"BNP Paribas Belgium Equity [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,25099
"BNP Paribas Asia ex-Japan Small Cap [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,22286
"BNP Paribas Asia ex-Japan Equity [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,13018
"BNP Paribas Asia ex-Japan Bond [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,13016
"BNP Paribas Absolute Return Multi-Strategy [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,18361
"BNP Paribas Aqua [CLASSIC, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/106__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,18006
"THEAM QUANT- WORLD CLIMATE CARBON OFFSET PLAN [C EUR, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,25833
THEAM QUANT- MULTI ASSET DIVERSIFIED C CAPITALISATION,https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,20007
"THEAM QUANT- MULTI ASSET DIVERSIFIED DEFENSIVE [C, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,20008
"THEAM QUANT- FIXED INCOME DIVERSIFIER [C, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,26008
"THEAM QUANT- EUROPE TARGET PREMIUM [C, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,25834
"THEAM QUANT- EQUITY WORLD GURU [C EUR H, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,25520
"THEAM QUANT- EQUITY WORLD EMPLOYEE SCHEME [C, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,17724
"THEAM QUANT- EQUITY WORLD EMPLOYEE SCHEME III [C, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,25076
"THEAM QUANT- EQUITY WORLD GLOBAL GOALS [C EUR, C]",https://www.bnpparibas-am.be/push-raw/doc-permalink/15134__REPA__FRE__UMBRELLA__PV_BE-IND__BEL__---,23211
