name,pdf_url
Contrarian Equities at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
ESG Equities at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Corporate Bonds at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
ESG Bonds at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Government Bonds at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
High Yield at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Inflation at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Short Duration  at Work - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Balanced - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Defensive - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
Dynamic - Capitalisation,https://www.capitalatwork.com/wp-content/themes/capitalatwork/documents/FINRPT_UMB_ANN_202012_EN.pdf
