name,pdf_url
COMGEST GROWTH WORLD EUR FIXED DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST MONDE C,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/067373a2-1bbc-453b-8ca8-a1090e8361f5.pdf
COMGEST GROWTH WORLD EUR DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST MONDE Z,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/067373a2-1bbc-453b-8ca8-a1090e8361f5.pdf
COMGEST MONDE I,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/067373a2-1bbc-453b-8ca8-a1090e8361f5.pdf
COMGEST GROWTH EMERGING MARKETS USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS GBP Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS EUR Z DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS EUR I FIXED DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS EX CHINA USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS EUR Y ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EMERGING MARKETS EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
