name,pdf_url,isin
Amundi Funds Emerging Markets Equity Focus - AE (D)-LU0552028341,https://solutions.vwdservices.com/products/documents/e2146cb8-1b4a-45e4-b027-f6e8167f5134/?c=X3ns%2FUCPIM4MZRdwxV9XavAcNKXk8qYVNW7VqKZR8Rj%2Fse%2BqWRHnUkwUP5A9%2Bnjs,LU0552028341
Amundi Funds Emerging Markets Equity Focus - AHE (C)-LU0613075240,https://solutions.vwdservices.com/products/documents/48eedab5-5802-40e9-8fca-ef26424be8d8/?c=tTBYDU8dT8Ao6G%2BuWhft6TGxpO9Rg9GhlNlyt%2FkLDQk1zqP2Ysgnj6Zxt46B8Vhd,LU0613075240
Amundi Funds Emerging Markets Equity Focus - AU (C)-LU0319685854,https://solutions.vwdservices.com/products/documents/374a43ef-65cb-4104-9faa-4946f724e677/?c=gk6ixD217YR%2BXtLurlgy%2BxNPatrTEA6fvGii3dx2sKDz7yiir5SvBVqzmVTtaha8,LU0319685854
Amundi Funds Emerging Markets Equity Focus - AU (D)-LU0319686076,https://solutions.vwdservices.com/products/documents/31816501-79f7-43fc-87d7-e842dde457a8/?c=pkkOeqrOot35SNrzBe3v9BUEPYdbIxsaVlpB6uu0Tmr4o%2FbYt11WgSEHL6cn3anl,LU0319686076
Amundi Funds Emerging Markets Local Currency Bond - AE (C)-LU1882459511,https://solutions.vwdservices.com/products/documents/9d1a85b2-d61b-466f-bad5-28d8c17fc710/?c=Mgg3ZxZ4iklj41fw%2BOTZvFHGe08yQi1vk52FqBmEVAp5K7Uyqk6rFMSqtjvlQCdr,LU1882459511
Amundi Funds Emerging Markets Local Currency Bond - AE (D)-LU1882459602,https://solutions.vwdservices.com/products/documents/319572db-f1be-47f6-a837-64607fcb6ccc/?c=h4wArgf7P6%2BLDxxdrf2Skl7qF41c9%2FGr9FR2UTObvMtlSw8We447ZELeXO86VNHy,LU1882459602
Amundi Funds Emerging Markets Local Currency Bond - AU (C)-LU1882459784,https://solutions.vwdservices.com/products/documents/88a82ddf-2108-4ba6-9e06-d5a7ddab1bf5/?c=GNDZ%2BlpZmsom5wVoSkT87m30b6Po322C%2BW1xWnhBoAQPbv7yvcAl9VUOmTc6VEXg,LU1882459784
Amundi Funds Emerging Markets Local Currency Bond - AU (D)-LU1882459867,https://solutions.vwdservices.com/products/documents/6ef06632-b16b-44bd-ad20-5ffa3be3a298/?c=X3nd0q2h84QWFy2AO%2FdGSVhVdmCulHgNADI2pLykpflmPf7mSRcaLe6f1wI%2FpmSE,LU1882459867
Amundi Funds Emerging World Equity - AE (C)-LU0557858130,https://solutions.vwdservices.com/products/documents/f389e9cd-9869-4186-8729-2bf707be6b01/?c=we4TD5XvCCGwEvPKFXzZGCUDOGVbLxCVmLObXnKT6jP%2B84wmTfP94nhmn1vzyDhd,LU0557858130
Amundi Funds Emerging World Equity - AE (D)-LU0557858213,https://solutions.vwdservices.com/products/documents/e036a04e-0957-43e5-a1f4-943529052223/?c=wujcrRekdXvWEoKXlIq3SHctkv8%2B%2FoQvrBmqwxmoZv1itS%2B5hf8yiin12dSbFW0c,LU0557858213
Amundi Funds Emerging World Equity - AU (C)-LU0347592197,https://solutions.vwdservices.com/products/documents/d96fa761-928c-4d1f-9b79-9994d8baa6a4/?c=7S9lWkUtWjFGqc476bBhJlRKgJiDPamTpoOE2UyWHM8AtnxgoZ1bq%2FRQuT%2BROUZ%2F,LU0347592197
Amundi Funds Emerging World Equity - AU (D)-LU0347592270,https://solutions.vwdservices.com/products/documents/130dc02a-398a-42de-91d1-0d8702f6ec99/?c=2pm%2BYlgLucPBzoRswuP8lsCr7DxqrsI5syQArpunGu%2BKu8T924LfH9Of1vER8tTx,LU0347592270
Amundi Funds Equity Japan Target - AE (C)-LU0568583420,https://solutions.vwdservices.com/products/documents/d7220d24-f853-4bc7-a009-23858e192aa2/?c=v5mTVdUW0zRlsUtYJukWdGk8VhR5SnQBAkFG%2BNUaSUdtxq%2FRPCkz8CnZwbiRcou3,LU0568583420
Amundi Funds Equity Japan Target - AE (D)-LU0568583776,https://solutions.vwdservices.com/products/documents/ca6979b8-6385-4e84-a833-ec00199625f1/?c=C1oWTkj65hzukfla4HkHKfn3mx2NP%2BftYmHqsJvKmny1PXaYWRiElaPXBnYKVjdT,LU0568583776
Amundi Funds Equity Japan Target - AHE (C)-LU0568583933,https://solutions.vwdservices.com/products/documents/f50b5009-3114-4d7d-96b4-34cde0494ad3/?c=w7JnFHPMcRGRIxkMSbHatbYnJWtnhMKpOYdwTwRGYsf2Hqs5WzIZI8T9b08folIP,LU0568583933
Amundi Funds Equity Japan Target - AJ (C)-LU0568583008,https://solutions.vwdservices.com/products/documents/8d8c2a95-2956-4ce3-9872-bb30193df3da/?c=21qxMKzcYmmiQAz1LjIVkrajY5jYCbiQG%2ByuCTwQzS0DBQqaV4c3BPtoxSe%2F17gP,LU0568583008
Amundi Funds Equity Japan Target - AJ (D)-LU0568583263,https://solutions.vwdservices.com/products/documents/9648824d-a60e-4e3d-b562-ab9bbf9ab5ab/?c=Ndg%2BgvOBVQSb6J9QFXjmt4IAMpZQ87tihAMsZDhgdEzrYyhu9ZvQdM8tVM6gim%2FK,LU0568583263
Amundi Funds Equity Mena - AHE (C)-LU0569690471,https://solutions.vwdservices.com/products/documents/e96fe6fb-3173-43e1-984d-fea7f278f536/?c=YgPfq4N0LD8o33i3rWgdeZZv%2Fmrkhpcl%2FFH5TCvrNDSnsw2z6hsN0rpIdzQm532e,LU0569690471
Amundi Funds Equity Mena - AU (C)-LU0568613946,https://solutions.vwdservices.com/products/documents/60c8d762-7225-4358-a1d1-b484abc82174/?c=rwC9pHbrMNKEN1hE8nW%2Bh5dNTMVZ0rxHqoCHOSYrALBel6RCvFyFPa4EaRoCLZlM,LU0568613946
Amundi Funds Equity Mena - AU (D)-LU0568614084,https://solutions.vwdservices.com/products/documents/3c02e64c-8eb7-4e0d-8cdb-8ffadd56db85/?c=NfsGXPEbe4RZ9TD56W9Bk4q1g%2BUS5wSN1gOoctBUKjvHuVEx61zalqfuNAop7Pgu,LU0568614084
Amundi Funds Global Perspectives - AE (D)-LU0907915242,https://solutions.vwdservices.com/products/documents/81205cb2-4a51-4bbc-bbc5-ba3ccea425aa/?c=Fs%2BxD5xPC2%2F2qrcru97aQFisyGOESqb2BIPxGoq9L1rntj579Wnqy6Eegw8EIj0y,LU0907915242
