name,pdf_url,isin
Mirova Emploi France (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe5NYdNZJrnQpw3U9b4PDeCntFR2omzhs7hrL73PixpZxvQE8_N08LKRDJWzXr-xvRSnhims2VqAFNxxnXQ3Rp_E=,FR0010612838
Mirova Actions Monde (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJezLGoQO5Z7v5AxYpLt0NXSi5v83UkT-tRmNKtRBuwjjR3WdUfJ5J-SYHFSdzyS8SIox5gCSPDsIC0AIPk0EEDNo=,FR0010091173
Mirova Women Leaders Equity Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1956003849
Mirova Euro Green&Sustainable Bond Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914734883
Mirova Euro Green&Sustainable Bond Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914734701
Mirova Europe Environnement R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJeyE77_ZTmi8-uSDDLEa14q3JoeQAhnb7iXKVdn1hU1J-cexjvv7sZWsIpTyu5PUOIFXX2mPtA2eRDQ6pSQzM8iw=,FR0010521575
Mirova Emploi France (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe5NYdNZJrnQpw3U9b4PDeCntFR2omzhs7hrL73PixpZxvQE8_N08LKRDJWzXr-xvRSnhims2VqAFNxxnXQ3Rp_E=,FR0010609552
Mirova Europe Environnement R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJeyE77_ZTmi8-uSDDLEa14q3JoeQAhnb7iXKVdn1hU1J-cexjvv7sZWsIpTyu5PUOIFXX2mPtA2eRDQ6pSQzM8iw=,FR0013321296
Mirova Women Leaders Equity Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU1956003765
Mirova Actions Europe R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJewlKaZQX6Sylhm-QPAzEkwlp-Vy5oeVD1qgAGO0hy6N2dduaZlubMkIrNkU6QckYoxMrOdvMiEmF4On_z7OkP9c=,FR0000976292
Mirova Obli Euro R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe2P7a0ELntWwO0_-6x1F3C5KHVNmR1f8zaWIDEhJWUmB-w6HTzfqKG207KPBGeFt6YoK_XL-RNXQKVrtvz5eDFM=,FR0010161612
Mirova Global Environmental Equity Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU2193677676
Mirova Obli Euro R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe2P7a0ELntWwO0_-6x1F3C5KHVNmR1f8zaWIDEhJWUmB-w6HTzfqKG207KPBGeFt6YoK_XL-RNXQKVrtvz5eDFM=,FR0010028985
Mirova Europe Environmental Equity Fund R (C) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914733059
Mirova Europe Environmental Equity Fund R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/2NbTaIue2pxAD0oOir4uaTt4jOA6yQVzCUP5KJpxq-Y=,LU0914733133
Insertion Emplois Dynamique R (D) EUR,https://ppu.am.natixis.com/SDU/MIROVA/HyPRUoxz3ahQcz7FTZOJe0NSTW2YrgCgLLGwMN39_6KL6gHOipxlE_uM4wAP6fLUT-pV58Ol4z44o_EV7uOzkMm9rZDGksEt1DM0HNfn69A=,FR0000970873
