name,pdf_url,isin
ODDO BHF Euro High Yield Bond DI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0115293481
ODDO BHF Euro High Yield Bond CR-SEK[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU1752464369
ODDO BHF Euro High Yield Bond CR-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU1486847319
ODDO BHF Artificial Intelligence CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=22633&IdSeqArray=1093771,LU1833932434
ODDO BHF Euro High Yield Bond DP15-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0456627487
ODDO BHF Euro High Yield Bond CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0115290974
ODDO BHF Euro High Yield Bond CP-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0456627131
ODDO BHF Euro High Yield Bond CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU1486847152
ODDO BHF Euro High Yield Bond CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11222&IdSeqArray=1093744,LU0115288721
ODDO BHF Euro Credit Short Duration DI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486846261
ODDO BHF Euro Credit Short Duration CR-USD[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486845610
ODDO BHF Euro Credit Short Duration DR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU0628638974
ODDO BHF Euro Credit Short Duration DP-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU0628638388
ODDO BHF Euro Credit Short Duration CP-USD[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486846774
ODDO BHF Euro Credit Short Duration CR-CHF[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486845701
ODDO BHF Euro Credit Short Duration CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=11225&IdSeqArray=1093747,LU1486845537
ODDO BHF Polaris Moderate F DR-EUR,annual_report_does_not_exists,LU2324316285
ODDO BHF Sustainable European Convertibles CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1673&IdSeqArray=1454811,FR0000980989
ODDO BHF Sustainable Credit Opportunities CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=16828&IdSeqArray=1093765,LU1752460292
ODDO BHF ProActif Europe CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1670&IdSeqArray=1193129,FR0010109165
ODDO BHF Sustainable Credit Opportunities CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=16828&IdSeqArray=1093765,LU1752460706
ODDO BHF Polaris Moderate F DN-EUR,annual_report_does_not_exists,LU2324316012
ODDO BHF ProActif Europe CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=1670&IdSeqArray=1193129,FR0011159888
ODDO BHF Polaris Moderate CR-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=17251&IdSeqArray=1218276,DE000A2JJ1W5
ODDO BHF Polaris Flexible F DR-EUR,annual_report_does_not_exists,LU2324315634
ODDO BHF Polaris Flexible F DN-EUR,annual_report_does_not_exists,LU2324315477
ODDO BHF Polaris Moderate CN-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=17251&IdSeqArray=1218276,DE000A2JJ1V7
ODDO BHF Polaris Flexible (CR-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29287&IdSeqArray=994200,LU1874836890
ODDO BHF Polaris Moderate CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=17251&IdSeqArray=1218276,DE000A2JJ1S3
ODDO BHF Polaris Flexible (CPw-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29287&IdSeqArray=994200,LU2120130302
ODDO BHF Polaris Flexible (CN-EUR),https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=29287&IdSeqArray=994200,LU1874837278
ODDO BHF Green Planet DI-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930873
ODDO BHF Haut Rendement 2023 CI-EUR,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=13652&IdSeqArray=1193150,FR0013173408
ODDO BHF Green Planet DR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930790
ODDO BHF Green Planet CR-USD,https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189930014
ODDO BHF Green Planet CR-EUR[H],https://am.oddo-bhf.com/belgique/fr/investisseur_non_professionnel/DownloadSingleDocumentML?Langue=FR&IDsarray=30938&IdSeqArray=1093777,LU2189929511
