name,pdf_url,isin
All Countries World Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46281
Canada Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46278
Emerging Markets Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46231
Euro Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46238
Global Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46242
Global HY Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,239185
Global IG Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,45086
Japan Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46247
Multi Asset,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,306596
Pacific Ex-Japan Markets Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46251
UK Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46254
US Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46261
World Equity Fund,http://www.tobam.fr/pdf/prospectus/rap_ann/en/Annual_report_FS_MDP_311219.pdf,46269
