fund_provider,fund_name_report,fund_name_website,isin,holding_name,market_value,currency,net_assets,pdf_url
La banque postale AM,ACTYS 1,ACTYS 1 U,,AKKA TECHNOLOGIES,201801.6,EUR,0.68,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,AUDIOVALLEY SA,566897.0,EUR,1.91,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,2CRSI SA,244356.0,EUR,0.82,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,ACTIELEC TECHNOLOGIE,352771.65,EUR,1.19,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,ATEME SA,365220.64,EUR,1.23,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,AURES TECHNOLOGIES,393866.3,EUR,1.33,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,BASTIDE LE CONFORT MEDICAL,1111500.0,EUR,3.75,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,BIGBEN INTERACTIVE,418320.0,EUR,1.41,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,BILENDI SA,316172.8,EUR,1.07,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CATERING INTL ET SERVICES,214996.0,EUR,0.73,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CELLECTIS,145390.0,EUR,0.49,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CLARANOVA,332055.36,EUR,1.13,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CLASQUIN,287140.0,EUR,0.97,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,COGELEC SAS,1027071.8,EUR,3.46,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CS Group SA,290850.0,EUR,0.98,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,DELFINGEN INDUSTRY,132396.8,EUR,0.45,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,DONT NOD ENTERTAINMENT SA,582316.0,EUR,1.96,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,EKINOPS,595507.51,EUR,2.01,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,ELECTRO POWER SYSTEMS SA,766400.8,EUR,2.58,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,ESI GROUP,985675.2,EUR,3.33,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,FLEURY MICHON,216600.0,EUR,0.73,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,FOCUS HOME INTERACTIVE SA,561940.6,EUR,1.9,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,HIGH CO,1043800.36,EUR,3.52,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,HOPSCOTCH GROUPE SA,53218.5,EUR,0.18,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,KERLINK,309398.74,EUR,1.05,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,LA FRANCAISE DE LENERGIE,983855.8,EUR,3.33,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,LARGO SA,341015.0,EUR,1.15,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,LINEDATA SERVICES,334900.0,EUR,1.13,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,MCPHY ENERGY SA,180257.04,EUR,0.61,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,NEURONES,1152115.2,EUR,3.88,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,OREGE,278536.16,EUR,0.94,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,PONCIN YACHTS,1341653.4,EUR,4.52,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,REWORLD MEDIA,861657.75,EUR,2.9,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,RIBER SA,327635.0,EUR,1.1,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,SIDETRADE,753214.0,EUR,2.54,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,SQLI SA,446400.0,EUR,1.51,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,STENTYS-PROMESSES,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,THERMADOR GROUPE,838803.0,EUR,2.83,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,TOUAX,657042.26,EUR,2.22,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,TOUR EIFFEL,129532.5,EUR,0.44,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,TUNNEL PRADO CARENAGE,331380.0,EUR,1.12,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,VALNEVA SE,308845.36,EUR,1.05,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,VERIMATRIX SA,146009.49,EUR,0.49,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,VETOQUINOL,1320900.0,EUR,4.45,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,VISIATIV SA,115420.0,EUR,0.39,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,WALLIX GROUP SA,756000.0,EUR,2.56,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,XILAM ANIMATION,162918.0,EUR,0.55,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,TOTAL PRODUCE,293631.36,EUR,0.99,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,CY4GATE SPA,303211.15,EUR,1.02,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,IERVOLINO & LADY BACARDI ENTERTAINMENT,308953.7,EUR,1.05,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,SWORD GROUP,718160.0,EUR,2.43,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,OSTRUM ISR CASH EONIA M,2797647.08,EUR,9.44,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,Dettes,-38417.63,EUR,-0.13,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 1,ACTYS 1 U,,Comptes financiers,1964618.55,EUR,6.63,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNM.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,LBPAM EONIA 3-6 MOIS I FCP 5DEC,5202491.0,EUR,28.82,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,OST ISR CASH EONI M,5415950.88,EUR,30.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,APAX FRANCE VII FCPR CAT.A APAX,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,FRANCE VII FCPR CAT.B SIPAREX,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,INTERMEZ.2 A,619500.0,EUR,3.43,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,Sip Entrepren 3 A,226000.0,EUR,1.25,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,SIPAREX ETI 5 A1,300000.0,EUR,1.66,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,DEMETER 2 PART A FCPR,805635.0,EUR,4.46,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,DEMETER 2 PART B FCPR,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,FCPR VENTECH CAPITAL III PART A,708079.37,EUR,3.92,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,FCPR VENTECH CAPITAL III PART B,2812998.65,EUR,15.58,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,IRIS CAP FD 2 PART A,940800.0,EUR,5.21,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,IRIS CAP FD 2 PART B,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,ISAI DEVELOPPEMENT A’ FCPR,836040.0,EUR,4.63,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,WINCH CAPITAL 2 FCPR Part A,0.0,EUR,0.0,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
La banque postale AM,ACTYS 2,ACTYS 2 U,,WINCH CAPITAL 2 FCPR Part B,99886.0,EUR,0.55,https://www.labanquepostale-am.fr/Lbpam/transversal/pdf/PNC.Par.RA.File.pdf
